Const. No.,Constituency,Leading Candidate,Leading Party,Margin,Party Category,Status,Trailing Candidate,Trailing Party
37,TENKASI,DR RANI SRI KUMAR,Dravida Munnetra Kazhagam,196199,Other,Result Declared,DR K KRISHNASAMY,All India Anna Dravida Munnetra Kazhagam
38,Bardhaman Purba,DR. SHARMILA SARKAR,All India Trinamool Congress,160572,Other,Result Declared,ASIM KUMAR SARKAR,Bharatiya Janata Party
38,Gaya,JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),101812,Other,Result Declared,KUMAR SARVJEET,Rashtriya Janata Dal
38,Shirdi,BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey),50529,Other,Result Declared,LOKHANDE SADASHIV KISAN,Shiv Sena
38,Sultanpur,RAMBHUAL NISHAD,Samajwadi Party,43174,Other,Result Declared,MANEKA SANJAY GANDHI,Bharatiya Janata Party
38,TIRUNELVELI,ROBERT BRUCE C,Indian National Congress,165620,INC,Result Declared,NAINAR NAGENTHRAN,Bharatiya Janata Party
39,Bardhaman-Durgapur,AZAD KIRTI JHA,All India Trinamool Congress,137981,Other,Result Declared,DILIP GHOSH,Bharatiya Janata Party
39,Beed,BAJRANG MANOHAR SONWANE,Nationalist Congress Party – Sharadchandra Pawar,6553,Other,Result Declared,PANKAJA GOPINATHRAO MUNDE,Bharatiya Janata Party
39,KANNIYAKUMARI,VIJAYAKUMAR (Alias) VIJAY VASANTH,Indian National Congress,179907,INC,Result Declared,RADHAKRISHNAN P,Bharatiya Janata Party
39,Nawada,VIVEK THAKUR,Bharatiya Janata Party,67670,BJP,Result Declared,SHRAWAN KUMAR,Rashtriya Janata Dal
39,Pratapgarh,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,66206,Other,Result Declared,SANGAM LAL GUPTA,Bharatiya Janata Party
40,Asansol,SHATRUGHAN PRASAD SINHA,All India Trinamool Congress,59564,Other,Result Declared,SURENDRAJEET SINGH AHLUWALIA,Bharatiya Janata Party
40,Farrukhabad,MUKESH RAJPUT,Bharatiya Janata Party,2678,BJP,Result Declared,DR. NAVAL KISHOR SHAKYA,Samajwadi Party
40,Jamui,ARUN BHARTI,Lok Janshakti Party(Ram Vilas),112482,Other,Result Declared,ARCHANA KUMARI,Rashtriya Janata Dal
40,Osmanabad,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey),329846,Other,Result Declared,ARCHANA RANAJAGJITSINH PATIL,Nationalist Congress Party
41,Bolpur,ASIT KUMAR MAL,All India Trinamool Congress,327253,Other,Result Declared,PIYA SAHA,Bharatiya Janata Party
41,Etawah,JITENDRA KUMAR DOHARE,Samajwadi Party,58419,Other,Result Declared,DR RAM SHANKAR KATHERIA,Bharatiya Janata Party
